Date,SEK
2019-12-06,9.4988
2019-12-05,9.4892
2019-12-04,9.5128
2019-12-03,9.5308
2019-12-02,9.5417
2019-11-29,9.575
2019-11-28,9.5587
2019-11-27,9.5803
2019-11-26,9.5898
2019-11-25,9.6377
2019-11-22,9.6341
2019-11-21,9.6261
2019-11-20,9.6325
2019-11-19,9.6314
2019-11-18,9.6349
2019-11-15,9.6461
2019-11-14,9.682
2019-11-13,9.7309
2019-11-12,9.7206
2019-11-11,9.6967
2019-11-08,9.7003
2019-11-07,9.6272
2019-11-06,9.6252
2019-11-05,9.6525
2019-11-04,9.6225
2019-11-01,9.5609
2019-10-31,9.652
2019-10-30,9.6581
2019-10-29,9.7008
2019-10-28,9.7042
2019-10-25,9.6841
2019-10-24,9.6569
2019-10-23,9.6402
2019-10-22,9.6501
2019-10-21,9.6416
2019-10-18,9.6509
2019-10-17,9.7133
2019-10-16,9.7772
2019-10-15,9.8106
2019-10-14,9.8204
2019-10-11,9.8031
2019-10-10,9.8421
2019-10-09,9.9582
2019-10-08,9.9467
2019-10-07,9.9163
2019-10-04,9.84
2019-10-03,9.8645
2019-10-02,9.8722
2019-10-01,9.8784
2019-09-30,9.8403
2019-09-27,9.7943
2019-09-26,9.7655
2019-09-25,9.7552
2019-09-24,9.6668
2019-09-23,9.7125
2019-09-20,9.7158
2019-09-19,9.6974
2019-09-18,9.7272
2019-09-17,9.6708
2019-09-16,9.665
2019-09-13,9.6097
2019-09-12,9.6232
2019-09-11,9.6736
2019-09-10,9.6839
2019-09-09,9.6581
2019-09-06,9.6462
2019-09-05,9.6887
2019-09-04,9.7424
2019-09-03,9.8211
2019-09-02,9.8292
2019-08-30,9.8404
2019-08-29,9.7764
2019-08-28,9.7247
2019-08-27,9.6709
2019-08-26,9.674
2019-08-23,9.5912
2019-08-22,9.6767
2019-08-21,9.6258
2019-08-20,9.6934
2019-08-19,9.6872
2019-08-16,9.6648
2019-08-15,9.6436
2019-08-14,9.6338
2019-08-13,9.541
2019-08-12,9.5624
2019-08-09,9.5443
2019-08-08,9.5998
2019-08-07,9.6192
2019-08-06,9.5868
2019-08-05,9.605
2019-08-02,9.6404
2019-08-01,9.6541
2019-07-31,9.6652
2019-07-30,9.5663
2019-07-29,9.4874
2019-07-26,9.5023
2019-07-25,9.4525
2019-07-24,9.427
2019-07-23,9.4631
2019-07-22,9.4127
2019-07-19,9.3828
2019-07-18,9.3052
2019-07-17,9.3668
2019-07-16,9.3901
2019-07-15,9.3568
2019-07-12,9.368
2019-07-11,9.3813
2019-07-10,9.4206
2019-07-09,9.4746
2019-07-08,9.4598
2019-07-05,9.4432
2019-07-04,9.3273
2019-07-03,9.3123
2019-07-02,9.331
2019-07-01,9.3588
2019-06-28,9.2845
2019-06-27,9.2787
2019-06-26,9.2605
2019-06-25,9.2794
2019-06-24,9.279
2019-06-21,9.3523
2019-06-20,9.4163
2019-06-19,9.4891
2019-06-18,9.535
2019-06-17,9.48
2019-06-14,9.4905
2019-06-13,9.4831
2019-06-12,9.4749
2019-06-11,9.4452
2019-06-10,9.4183
2019-06-07,9.399
2019-06-06,9.4193
2019-06-05,9.4431
2019-06-04,9.4358
2019-06-03,9.4458
2019-05-31,9.4961
2019-05-30,9.5399
2019-05-29,9.5587
2019-05-28,9.599
2019-05-27,9.5812
2019-05-24,9.5414
2019-05-23,9.6168
2019-05-22,9.633
2019-05-21,9.6569
2019-05-20,9.6597
2019-05-17,9.6417
2019-05-16,9.6373
2019-05-15,9.6001
2019-05-14,9.6029
2019-05-13,9.6401
2019-05-10,9.6118
2019-05-09,9.6534
2019-05-08,9.6174
2019-05-07,9.5947
2019-05-06,9.5701
2019-05-03,9.5435
2019-05-02,9.5774
2019-05-01,9.542
2019-04-30,9.4883
2019-04-29,9.5107
2019-04-26,9.4965
2019-04-25,9.5394
2019-04-24,9.4343
2019-04-23,9.3504
2019-04-22,9.3066
2019-04-19,9.3015
2019-04-18,9.3106
2019-04-17,9.2487
2019-04-16,9.2581
2019-04-15,9.2683
2019-04-12,9.2702
2019-04-11,9.2891
2019-04-10,9.2628
2019-04-09,9.2588
2019-04-08,9.2611
2019-04-05,9.303
2019-04-04,9.2852
2019-04-03,9.2695
2019-04-02,9.3279
2019-04-01,9.2812
2019-03-29,9.2917
2019-03-28,9.2941
2019-03-27,9.2784
2019-03-26,9.2447
2019-03-25,9.2399
2019-03-22,9.2796
2019-03-21,9.1734
2019-03-20,9.1383
2019-03-19,9.2063
2019-03-18,9.2293
2019-03-15,9.2297
2019-03-14,9.3051
2019-03-13,9.2906
2019-03-12,9.3641
2019-03-11,9.3982
2019-03-08,9.4342
2019-03-07,9.4556
2019-03-06,9.3017
2019-03-05,9.3098
2019-03-04,9.3379
2019-03-01,9.269
2019-02-28,9.2386
