Date,BTC
2020-07-20,9164.231445
2020-07-21,9374.887695
2020-07-22,9525.363281
2020-07-23,9581.072266
2020-07-24,9536.892578
2020-07-25,9677.113281
2020-07-26,9905.166992
2020-07-27,10990.87305
2020-07-28,10912.82324
2020-07-29,11100.46777
2020-07-30,11111.21387
2020-07-31,11323.4668
2020-08-01,11759.59277
2020-08-02,11053.61426
2020-08-03,11246.34863
2020-08-04,11205.89258
2020-08-05,11747.02246
2020-08-06,11779.77344
2020-08-07,11601.47266
2020-08-08,11754.0459
2020-08-09,11675.73926
2020-08-10,11878.11133
2020-08-11,11410.52539
2020-08-12,11584.93457
2020-08-13,11784.1377
2020-08-14,11768.87109
2020-08-15,11865.69824
2020-08-16,11892.80371
2020-08-17,12254.40234
2020-08-18,11991.2334
2020-08-19,11758.2832
2020-08-20,11878.37207
2020-08-21,11592.48926
2020-08-22,11681.8252
2020-08-23,11664.84766
2020-08-24,11774.5957
2020-08-25,11366.13477
2020-08-26,11488.36328
2020-08-27,11323.39746
2020-08-28,11542.5
2020-08-29,11506.86523
2020-08-30,11711.50586
2020-08-31,11680.82031
2020-09-01,11970.47852
2020-09-02,11414.03418
2020-09-03,10245.29688
2020-09-04,10511.81348
2020-09-05,10169.56738
2020-09-06,10280.35156
2020-09-07,10369.56348
2020-09-08,10131.5166
2020-09-09,10242.34766
2020-09-10,10363.13867
2020-09-11,10400.91504
2020-09-12,10442.1709
2020-09-13,10323.75586
2020-09-14,10680.83789
2020-09-15,10796.95117
2020-09-16,10974.90527
2020-09-17,10948.99023
2020-09-18,10944.58594
2020-09-19,11094.34668
2020-09-20,10938.27148
2020-09-21,10462.25977
2020-09-22,10538.45996
2020-09-23,10246.18652
2020-09-24,10760.06641
2020-09-25,10692.7168
2020-09-26,10750.72363
2020-09-27,10775.26953
2020-09-28,10709.65234
2020-09-29,10844.64063
2020-09-30,10784.49121
2020-10-01,10619.45215
2020-10-02,10575.97461
2020-10-03,10549.3291
2020-10-04,10669.58301
2020-10-05,10793.33984
2020-10-06,10604.40625
2020-10-07,10668.96875
2020-10-08,10915.68555
2020-10-09,11064.45801
2020-10-10,11296.36133
2020-10-11,11384.18164
2020-10-12,11555.36328
2020-10-13,11425.89941
2020-10-14,11429.50684
2020-10-15,11495.34961
2020-10-16,11322.12305
2020-10-17,11358.10156
2020-10-18,11483.35938
2020-10-19,11742.03711
2020-10-20,11916.33496
2020-10-21,12823.68945
